bullwaves_user,bullwaves_id,from_affiliate_id,to_affiliate_id,comment,created_on,created_by,admin_only,affiliateid
,,2287,35060,"User moonance-3186 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",5/21/2024 4:08:58 PM,Partners,Yes,35060
,,2287,35060,"User moonance-3138 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",5/3/2024 10:00:58 AM,Partners,Yes,35060
,,2287,35107,"User moonance-3128 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",4/30/2024 11:28:18 AM,Partners,Yes,35107
,,2287,35107,"User moonance-3132 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",4/30/2024 11:28:00 AM,Partners,Yes,35107
,,2287,35107,"User moonance-3133 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",4/30/2024 11:27:47 AM,Partners,Yes,35107
,,2287,35107,"User moonance-3134 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",4/30/2024 11:27:32 AM,Partners,Yes,35107
,,2287,35060,"User moonance-3060 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",4/22/2024 11:49:28 AM,Partners,Yes,35060
,,2287,35060,"User moonance-3064 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",4/22/2024 11:44:36 AM,Partners,Yes,35060
,,2287,35107,"User moonance-3048 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",4/22/2024 8:41:38 AM,Partners,Yes,35107
,,2287,35060,"User moonance-2965 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",4/7/2024 5:49:22 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2953 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",4/3/2024 4:36:54 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2917 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",3/21/2024 1:30:44 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2900 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",3/18/2024 2:18:53 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2903 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",3/18/2024 2:18:26 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2845 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",3/4/2024 2:08:02 PM,Partners,Yes,35060
,,2287,35107,"User moonance-2842 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",3/4/2024 9:19:23 AM,Partners,Yes,35107
,,2287,35107,"User moonance-2841 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",3/4/2024 9:19:07 AM,Partners,Yes,35107
,,2287,35060,"User moonance-2835 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",3/3/2024 3:15:48 PM,Partners,Yes,35060
,,2287,35107,"User moonance-2831 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",3/2/2024 12:59:20 PM,Partners,Yes,35107
,,2287,35060,"User moonance-118 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/28/2024 9:40:41 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2790 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/26/2024 3:48:24 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2786 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/26/2024 10:43:30 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2788 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/26/2024 10:43:18 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2778 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/23/2024 10:50:21 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2775 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/22/2024 10:55:44 AM,Partners,Yes,35060
,,2287,35112,"User moonance-2764 was moved from affiliate 2287 to  affiliate 35112  With settings : Move media report stats , Move pre calculated commissions",2/21/2024 2:45:15 PM,Partners,Yes,35112
,,2287,35107,"User moonance-2767 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",2/21/2024 2:43:16 PM,Partners,Yes,35107
,,2287,35060,"User moonance-2741 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/16/2024 4:19:12 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2737 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/16/2024 1:43:22 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2702 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/14/2024 3:11:11 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2689 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/14/2024 9:19:37 AM,Partners,Yes,35060
,,2287,35107,"User moonance-2677 was moved from affiliate 2287 to  affiliate 35107  With settings : Move media report stats , Move pre calculated commissions",2/13/2024 11:05:50 PM,Partners,Yes,35107
