user_id,accounts_count,accounts,has_ftd,has_qftd
bullwaves-816248,1,3004217,0,0
bullwaves-816237,1,3004216,0,0
bullwaves-816226,1,"3004214,3004215",0,0
bullwaves-816206,1,3004213,1,0
bullwaves-816192,1,3004211,0,0
bullwaves-816194,1,3004212,0,0
bullwaves-816189,1,3004210,0,0
bullwaves-816057,1,2001081,0,0
bullwaves-816053,1,3004207,0,0
bullwaves-816045,1,2001080,0,0
bullwaves-816037,1,3004206,0,0
bullwaves-816029,1,3004205,0,0
bullwaves-815977,1,2001079,1,1
bullwaves-815966,1,3004203,1,0
bullwaves-815968,1,,0,0
bullwaves-815915,1,3004200,0,0
bullwaves-815886,1,3004199,1,1
bullwaves-815868,1,3004198,0,0
bullwaves-815788,1,3004196,0,0
bullwaves-815785,1,"3004195,3004197",1,0
bullwaves-815753,1,3004194,0,0
bullwaves-815710,1,3004192,0,0
bullwaves-815718,1,3004193,0,0
bullwaves-815702,1,3004191,0,0
bullwaves-815690,1,3004189,0,0
bullwaves-815692,1,3004190,0,0
bullwaves-815670,1,3004187,0,0
bullwaves-815678,1,3004188,0,0
bullwaves-815666,1,3004186,1,0
bullwaves-815655,1,,0,0
bullwaves-815648,1,2001077,1,1
bullwaves-815652,1,2001078,0,0
bullwaves-815641,1,3004184,1,0
bullwaves-815617,1,2001076,1,0
bullwaves-815623,1,3004183,0,0
bullwaves-815606,1,3004182,0,0
bullwaves-815552,1,2001075,0,0
bullwaves-815482,1,3004181,0,0
bullwaves-815466,1,3004180,0,0
bullwaves-815459,1,2001073,0,0
bullwaves-815435,1,3004179,1,0
bullwaves-815383,1,3004178,0,0
bullwaves-815370,1,3004177,1,1
bullwaves-815375,1,2001071,0,0
bullwaves-815367,1,3004176,0,0
bullwaves-815357,1,3004175,0,0
bullwaves-815354,1,"2001070,2001072",0,0
bullwaves-815248,1,3004174,1,0
bullwaves-815241,1,3004173,1,0
bullwaves-815204,1,2001069,1,0
bullwaves-815183,1,3004172,0,0
bullwaves-815119,1,3004170,1,0
bullwaves-815046,1,3004168,0,0
bullwaves-814997,1,3004167,0,0
bullwaves-814979,1,2001067,0,0
bullwaves-814975,1,3004166,0,0
bullwaves-814848,1,3004164,0,0
bullwaves-814772,1,3004163,0,0
bullwaves-814748,1,,0,0
bullwaves-814701,1,3004162,0,0
